,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents
2023-10-31,414000000.0,414000000.0,24991000000.0,39229000000.0,-23532000000.0,63168000000.0,13442000000.0,-23532000000.0,49000000.0,23988000000.0,61605000000.0,23988000000.0,23988000000.0,207000000.0,207000000.0,2682000000.0,21099000000.0,0.0,0.0,0.0,48873000000.0,41468000000.0,756000000.0,2792000000.0,299000000.0,299000000.0,37621000000.0,4000000.0,37617000000.0,7405000000.0,312000000.0,2487000000.0,2487000000.0,1608000000.0,45000000.0,1563000000.0,1563000000.0,935000000.0,2063000000.0,380000000.0,380000000.0,1683000000.0,473000000.0,1210000000.0,72861000000.0,52014000000.0,2340000000.0,47520000000.0,3867000000.0,43653000000.0,2154000000.0,-4024000000.0,6178000000.0,63000000.0,4739000000.0,1181000000.0,195000000.0,0.0,20847000000.0,863000000.0,743000000.0,1898000000.0,676000000.0,901000000.0,321000000.0,3154000000.0,3154000000.0,14189000000.0,14189000000.0
2023-07-31,413000000.0,413000000.0,27236000000.0,39341000000.0,-26194000000.0,61370000000.0,10988000000.0,-26194000000.0,50000000.0,22079000000.0,60293000000.0,22079000000.0,22079000000.0,46000000.0,46000000.0,1178000000.0,20855000000.0,0.0,0.0,0.0,49516000000.0,42171000000.0,1064000000.0,2885000000.0,,,38222000000.0,8000000.0,38214000000.0,7345000000.0,541000000.0,2941000000.0,2941000000.0,1119000000.0,42000000.0,1077000000.0,1077000000.0,831000000.0,1913000000.0,406000000.0,406000000.0,1507000000.0,515000000.0,992000000.0,71595000000.0,53262000000.0,2809000000.0,48273000000.0,4654000000.0,43619000000.0,2180000000.0,,,,,,,,18333000000.0,1089000000.0,433000000.0,1842000000.0,581000000.0,938000000.0,323000000.0,2914000000.0,2914000000.0,12055000000.0,12055000000.0
2023-04-30,414000000.0,414000000.0,27706000000.0,39311000000.0,-27041000000.0,61266000000.0,10360000000.0,-27041000000.0,52000000.0,22007000000.0,60189000000.0,22007000000.0,22007000000.0,-182000000.0,-182000000.0,1363000000.0,20826000000.0,0.0,0.0,0.0,49660000000.0,42149000000.0,1114000000.0,2841000000.0,,,38194000000.0,12000000.0,38182000000.0,7511000000.0,470000000.0,3427000000.0,3427000000.0,1117000000.0,40000000.0,1077000000.0,1077000000.0,634000000.0,1863000000.0,382000000.0,382000000.0,1481000000.0,650000000.0,831000000.0,71667000000.0,53796000000.0,2539000000.0,49048000000.0,5434000000.0,43614000000.0,2209000000.0,,,,,,,,17871000000.0,725000000.0,676000000.0,1886000000.0,577000000.0,1038000000.0,271000000.0,3031000000.0,3031000000.0,11553000000.0,11553000000.0
2023-01-31,417000000.0,417000000.0,26580000000.0,39282000000.0,-26529000000.0,62537000000.0,11353000000.0,-26529000000.0,55000000.0,23310000000.0,61460000000.0,23310000000.0,23310000000.0,-180000000.0,-180000000.0,2371000000.0,21119000000.0,0.0,0.0,0.0,49666000000.0,42183000000.0,1150000000.0,2866000000.0,,,38167000000.0,17000000.0,38150000000.0,7483000000.0,479000000.0,3109000000.0,3109000000.0,1115000000.0,38000000.0,1077000000.0,1077000000.0,536000000.0,2244000000.0,406000000.0,406000000.0,1838000000.0,915000000.0,923000000.0,72976000000.0,54140000000.0,2100000000.0,49839000000.0,6225000000.0,43614000000.0,2201000000.0,,,,,,,,18836000000.0,447000000.0,609000000.0,1899000000.0,702000000.0,986000000.0,211000000.0,3234000000.0,3234000000.0,12647000000.0,12647000000.0
2022-10-31,418000000.0,418000000.0,27040000000.0,39515000000.0,-28016000000.0,62165000000.0,11452000000.0,-28016000000.0,59000000.0,22709000000.0,61762000000.0,22709000000.0,22709000000.0,-54000000.0,-54000000.0,1604000000.0,21159000000.0,0.0,0.0,0.0,50540000000.0,43488000000.0,774000000.0,3229000000.0,410000000.0,410000000.0,39075000000.0,22000000.0,39053000000.0,7052000000.0,408000000.0,2931000000.0,2931000000.0,440000000.0,37000000.0,403000000.0,403000000.0,1202000000.0,2071000000.0,393000000.0,393000000.0,1678000000.0,680000000.0,998000000.0,73249000000.0,54745000000.0,1797000000.0,50725000000.0,7111000000.0,43614000000.0,2223000000.0,-3604000000.0,5827000000.0,63000000.0,4413000000.0,1156000000.0,195000000.0,0.0,18504000000.0,341000000.0,864000000.0,1925000000.0,780000000.0,966000000.0,179000000.0,2958000000.0,2958000000.0,12416000000.0,12416000000.0
