,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2022-12-31,-32896000.0,0.128,11482000000.0,-257000000.0,-257000000.0,8749000000.0,979000000.0,6257000000.0,11225000000.0,10246000000.0,-214000000.0,214000000.0,8973104000.0,8749000000.0,9631000000.0,10140000000.0,926000000.0,916000000.0,9.41,9.55131,8710000000.0,1000000.0,8709000000.0,40000000.0,8749000000.0,8749000000.0,8749000000.0,1283000000.0,10032000000.0,-151000000.0,106000000.0,-257000000.0,0.0,257000000.0,-214000000.0,214000000.0,10397000000.0,3374000000.0,1670000000.0,1704000000.0,13771000000.0,6257000000.0,20028000000.0,20028000000.0
2021-12-31,-25284000.0,0.129,10253000000.0,-196000000.0,-196000000.0,7769000000.0,954000000.0,5968000000.0,10057000000.0,9103000000.0,-184000000.0,184000000.0,7939716000.0,7769000000.0,9188000000.0,8960000000.0,936000000.0,923000000.0,8.26,8.417118,7736000000.0,0.0,7736000000.0,33000000.0,7769000000.0,7769000000.0,7769000000.0,1150000000.0,8919000000.0,-53000000.0,143000000.0,-196000000.0,50000000.0,246000000.0,-184000000.0,184000000.0,9156000000.0,3220000000.0,1554000000.0,1666000000.0,12376000000.0,5968000000.0,18344000000.0,18344000000.0
2020-12-31,-15540000.0,0.07,7421000000.0,-222000000.0,-222000000.0,5595000000.0,992000000.0,5192000000.0,7199000000.0,6207000000.0,-190000000.0,190000000.0,5801460000.0,5595000000.0,8345000000.0,5894000000.0,933000000.0,921000000.0,5.97,6.074919,5568000000.0,0.0,5568000000.0,27000000.0,5595000000.0,5595000000.0,5595000000.0,422000000.0,6017000000.0,91000000.0,313000000.0,-222000000.0,1000000.0,223000000.0,-190000000.0,190000000.0,6116000000.0,3153000000.0,1530000000.0,1623000000.0,9269000000.0,5192000000.0,14461000000.0,14461000000.0
