,x_ones,x_Mkt-RF,x_SMB,x_HML,x_RMW,x_CMA,y_exp_return
2019-06-11,1.0,-0.12,-0.2,0.55,0.47,0.17,-2.476648829732827
2019-06-12,1.0,-0.2,0.29,-0.99,0.06,0.1,-0.7186561040394245
2019-06-13,1.0,0.52,0.68,-0.04,-0.12,-0.05,-2.4639437788547234
2019-06-14,1.0,-0.27,-0.74,0.32,0.25,0.14,-3.2902959519729733
2019-06-17,1.0,0.15,0.49,-1.12,-0.67,-0.42,-3.8298162848870185
2019-06-18,1.0,1.04,0.19,0.33,-0.25,-0.19,4.271821805958634
2019-06-19,1.0,0.32,0.02,-0.6,-0.21,0.17,0.15520110281705202
2019-06-20,1.0,0.89,-0.4,-0.23,-0.14,-0.12,-1.6155566266169283
2019-06-21,1.0,-0.21,-0.46,-0.03,-0.11,0.02,-3.0413220275630612
2019-06-24,1.0,-0.34,-0.9,0.08,0.64,-0.02,0.5408276471294972
2019-06-25,1.0,-0.98,0.41,0.71,-0.1,0.57,-1.3760526842150975
2019-06-26,1.0,-0.06,0.02,0.25,0.37,-0.39,3.6639017447150626
2019-06-27,1.0,0.6,1.43,-0.09,-0.34,-0.23,2.73164068426898
2019-06-28,1.0,0.68,0.77,0.61,-0.46,0.11,-1.2126399955747567
2019-07-01,1.0,0.75,-0.59,-0.13,-0.13,0.05,2.7239598313142745
2019-07-02,1.0,0.14,-0.96,-0.81,-0.02,-0.02,0.11920194615579262
2019-07-03,1.0,0.78,-0.13,-0.33,-0.35,-0.05,-0.1690487753740998
2019-07-05,1.0,-0.1,0.34,0.91,0.13,-0.05,0.9849065746532583
2019-07-08,1.0,-0.58,-0.43,0.05,0.04,-0.26,1.7052886207217157
2019-07-09,1.0,0.18,-0.24,-0.43,-0.65,-0.19,3.4554212816287158
2019-07-10,1.0,0.4,-0.25,-0.36,0.11,-0.02,1.921616471160085
2019-07-11,1.0,0.19,-0.77,0.04,-0.24,-0.56,-2.1694010726761324
2019-07-12,1.0,0.53,0.32,0.41,0.59,-0.09,0.4447135660944713
2019-07-15,1.0,-0.04,-0.47,-1.07,0.14,0.24,3.5441476594574453
2019-07-16,1.0,-0.32,0.41,0.1,0.44,-0.02,-1.5792265923560498
2019-07-17,1.0,-0.64,-0.26,-0.65,-0.49,-0.23,-0.7475524705152635
2019-07-18,1.0,0.35,-0.27,0.02,-0.36,0.35,-1.7947098255025682
2019-07-19,1.0,-0.56,0.3,0.86,0.37,0.09,-1.4938535711115106
2019-07-22,1.0,0.25,-0.55,-0.49,-0.19,0.0,1.036832575028749
2019-07-23,1.0,0.65,-0.06,0.81,0.66,0.34,1.9392594644559593
2019-07-24,1.0,0.66,0.92,0.86,-0.08,-0.09,1.8422956130527948
2019-07-25,1.0,-0.63,-0.68,-0.12,0.16,0.05,-1.2989514322281202
2019-07-26,1.0,0.82,0.33,-0.19,-0.61,-0.25,1.0305078938292724
2019-07-29,1.0,-0.32,-0.35,-0.46,0.31,0.38,-1.5963042570877182
2019-07-30,1.0,-0.17,1.42,0.89,-0.18,0.1,1.1558727448650088
2019-07-31,1.0,-1.09,0.26,0.61,0.19,0.53,-10.106426267485865
2019-08-01,1.0,-1.04,-0.76,-1.9,-0.54,-0.3,-1.9446030798198717
2019-08-02,1.0,-0.87,-0.26,0.06,0.15,0.19,-1.4135641919255189
2019-08-05,1.0,-3.07,0.05,0.0,-0.07,0.27,-4.932274241289578
2019-08-06,1.0,1.29,-0.55,-0.59,-0.27,-0.25,3.1012559712312773
2019-08-07,1.0,0.07,-0.1,-0.9,0.18,-0.18,1.1364508549098555
2019-08-08,1.0,1.97,-0.03,-0.23,0.28,-0.31,16.197171114587473
2019-08-09,1.0,-0.78,-0.5,-0.22,-0.48,-0.02,0.7889919585457609
2019-08-12,1.0,-1.32,0.21,-0.27,0.13,0.24,-5.154699304551311
2019-08-13,1.0,1.47,-0.35,-0.53,0.35,-0.04,-0.993739721902341
2019-08-14,1.0,-2.95,0.02,-0.51,-0.37,0.01,-5.830733427867172
2019-08-15,1.0,0.16,-0.69,-0.53,-0.07,-0.46,-1.8919196400081313
2019-08-16,1.0,1.55,0.64,0.61,0.14,-0.06,5.08231656555105
2019-08-19,1.0,1.14,0.03,0.22,0.37,-0.01,0.9551527714056777
2019-08-20,1.0,-0.75,0.18,-0.5,0.12,-0.18,-2.4212320201185342
2019-08-21,1.0,0.85,-0.03,-0.3,-0.03,-0.01,3.1831089566721995
2019-08-22,1.0,-0.1,-0.35,0.49,0.22,0.26,0.6239112011903872
2019-08-23,1.0,-2.66,-0.61,-0.18,-0.63,-0.24,-7.405115144904382
2019-08-26,1.0,1.08,-0.04,-0.17,0.19,-0.15,2.4980770080687233
2019-08-27,1.0,-0.46,-1.0,-0.67,0.26,0.07,-0.2712005346497167
2019-08-28,1.0,0.68,0.62,0.62,0.34,0.21,1.9135295001774038
2019-08-29,1.0,1.35,0.4,0.34,0.17,-0.18,2.1697383409599493
2019-08-30,1.0,0.03,-0.25,0.23,0.1,0.13,-0.007
2019-09-03,1.0,-0.86,-0.93,0.1,-0.2,0.45,-1.757811227557423
2019-09-04,1.0,1.08,-0.15,0.43,0.25,-0.07,0.1528160033218796
2019-09-05,1.0,1.42,0.55,0.71,0.43,-0.01,1.7680572649520978
2019-09-06,1.0,-0.02,-0.36,0.04,0.16,0.42,-2.9931286795479926
2019-09-09,1.0,0.07,1.36,3.06,0.87,0.42,-0.20533333439436074
2019-09-10,1.0,0.17,1.41,1.13,-0.03,0.59,-0.8942474025038415
2019-09-11,1.0,0.88,1.37,-0.04,-0.23,0.34,-1.5637446922644647
2019-09-12,1.0,0.22,-0.39,-0.13,-0.22,-0.18,1.503092917103214
2019-09-13,1.0,-0.01,0.18,0.74,-0.02,-0.1,1.5798827015280161
2019-09-16,1.0,-0.23,0.88,0.53,-0.32,0.05,0.4471726530212251
2019-09-17,1.0,0.17,-0.79,-1.19,-0.19,-0.35,0.5099745306780846
2019-09-18,1.0,-0.05,-0.78,0.06,-0.12,0.04,-1.848302029796863
2019-09-19,1.0,-0.05,-0.48,-0.46,0.04,-0.2,-0.4363476674574672
2019-09-20,1.0,-0.48,0.3,0.15,-0.59,0.08,-0.8013462238780155
2019-09-23,1.0,-0.02,-0.11,0.51,0.27,0.27,1.9543949003907026
2019-09-24,1.0,-1.01,-0.75,0.0,0.17,0.45,-3.664349067216862
2019-09-25,1.0,0.69,0.42,0.53,0.42,0.0,0.05875222714610063
2019-09-26,1.0,-0.41,-0.98,0.11,0.36,0.29,-0.2459722410403008
2019-09-27,1.0,-0.62,-0.17,0.88,0.24,0.56,-2.553961036562132
2019-09-30,1.0,0.5,-0.26,-0.48,0.62,-0.02,0.9311130369739441
2019-10-01,1.0,-1.31,-0.65,-0.59,0.1,-0.19,-0.8003754537848281
2019-10-02,1.0,-1.73,0.77,-0.36,-0.47,-0.26,-1.5716757974902447
2019-10-03,1.0,0.8,-0.38,-0.89,-0.19,-0.18,1.2999616609442837
2019-10-04,1.0,1.39,-0.51,-0.07,-0.02,0.04,1.1436273368013132
2019-10-07,1.0,-0.41,0.13,-0.02,-0.06,-0.26,-0.28276671173690227
2019-10-08,1.0,-1.61,-0.15,-0.12,0.43,0.02,-2.4266362100079806
2019-10-09,1.0,0.92,-0.58,-0.09,0.13,-0.17,0.8077344880123475
2019-10-10,1.0,0.59,-0.26,0.26,0.12,-0.09,-0.28809601644260574
2019-10-11,1.0,1.23,0.6,0.19,0.49,0.3,4.820346299316782
2019-10-14,1.0,-0.18,-0.35,-0.04,-0.17,-0.08,2.6148510475479294
2019-10-15,1.0,1.03,0.25,-0.25,-0.22,-0.68,0.6153341710964725
2019-10-16,1.0,-0.24,0.48,0.23,0.38,0.26,0.2859692532537498
2019-10-17,1.0,0.37,0.79,-0.28,0.11,-0.04,1.0640805888550557
2019-10-18,1.0,-0.49,-0.14,0.86,-0.08,0.38,-0.5529218998907778
2019-10-21,1.0,0.71,0.3,0.35,0.02,0.02,3.415665448640494
2019-10-22,1.0,-0.34,0.49,0.85,0.42,0.32,-1.6304735255473919
2019-10-23,1.0,0.25,-0.11,0.26,-0.01,0.08,-0.4830381384979695
2019-10-24,1.0,0.25,-0.5,-0.89,-0.06,-0.66,1.140955025498626
2019-10-25,1.0,0.51,0.39,0.08,0.34,-0.04,3.1140586145925977
2019-10-28,1.0,0.62,0.28,-0.24,0.01,-0.04,2.989024364615568
2019-10-29,1.0,-0.13,0.4,0.51,-0.06,0.1,-1.9660379172318205
2019-10-30,1.0,0.27,-0.64,-1.16,-0.47,-0.02,0.2957620118503993
2019-10-31,1.0,-0.38,-0.34,-0.44,-0.27,0.19,2.4077274713808507
2019-11-01,1.0,1.08,0.65,0.83,-0.17,0.13,2.8233518297617395
2019-11-04,1.0,0.4,0.32,1.35,0.62,0.12,4.00661550693599
2019-11-05,1.0,-0.03,0.38,0.45,0.0,-0.02,-0.3917795153389909
2019-11-06,1.0,-0.05,-0.8,0.23,-0.17,0.31,-0.6145787314438429
2019-11-07,1.0,0.38,-0.01,0.51,0.09,-0.21,0.9681120822386318
2019-11-08,1.0,0.31,-0.01,-0.36,-0.13,0.06,0.02156928491458588
2019-11-11,1.0,-0.19,-0.07,-0.19,-0.07,-0.08,0.04911286100605695
2019-11-12,1.0,0.16,-0.19,-0.15,-0.17,-0.22,1.0956185515098087
2019-11-13,1.0,0.01,-0.41,-0.82,-0.28,-0.03,2.2004870430182684
2019-11-14,1.0,0.07,-0.15,-0.25,0.13,-0.35,2.2061482042404275
2019-11-15,1.0,0.74,-0.29,-0.34,-0.01,0.05,0.5415955867681126
2019-11-18,1.0,0.02,-0.36,-0.51,-0.03,-0.32,3.4172356011753897
2019-11-19,1.0,0.02,0.35,-0.94,-0.86,-0.22,3.529606343148845
2019-11-20,1.0,-0.33,-0.14,-0.45,-0.55,-0.29,-0.7567904248421515
2019-11-21,1.0,-0.14,-0.31,0.1,0.08,-0.1,-3.568711324503309
2019-11-22,1.0,0.24,0.16,0.22,0.18,0.05,-0.9422321042485688
2019-11-25,1.0,0.92,1.27,-0.38,0.11,0.02,1.6287365637403355
2019-11-26,1.0,0.19,-0.09,-0.9,0.2,-0.25,-2.0165534522578015
2019-11-27,1.0,0.44,0.22,-0.03,0.03,-0.02,1.0711945392791915
2019-11-29,1.0,-0.42,-0.11,-0.31,-0.47,0.0,-0.6657267763000958
2019-12-02,1.0,-0.87,-0.13,0.48,0.09,0.2,-1.079801959828662
2019-12-03,1.0,-0.66,0.42,-0.83,-0.51,-0.55,0.4319413520575536
2019-12-04,1.0,0.6,0.21,0.24,0.16,0.09,2.023840796508748
2019-12-05,1.0,0.13,-0.14,0.46,0.26,0.35,-0.1833660802374334
2019-12-06,1.0,0.91,0.38,0.37,0.34,0.22,0.018245170368792814
2019-12-09,1.0,-0.33,0.31,0.11,-0.13,-0.22,-1.7733405098988115
2019-12-10,1.0,-0.08,0.28,-0.09,-0.2,0.04,1.3030393463531424
