,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-09-30,-923120.0,0.08,326538000.0,-11539000.0,-11539000.0,257243000.0,44630000.0,548962000.0,314999000.0,270369000.0,19803000.0,19803000.0,267858880.0,257243000.0,1007162000.0,270369000.0,191868000.0,191435000.0,1.34,1.34,257243000.0,257243000.0,257243000.0,257243000.0,257243000.0,22328000.0,279571000.0,-10601000.0,938000.0,-11539000.0,19803000.0,19803000.0,270369000.0,458200000.0,221572000.0,236628000.0,35158000.0,201470000.0,201470000.0,728569000.0,548962000.0,1277531000.0,1277531000.0
2023-06-30,960933.0,0.089,317747000.0,10797000.0,10797000.0,287939000.0,44189000.0,561353000.0,328544000.0,284355000.0,18760000.0,18760000.0,278102933.0,287939000.0,1036440000.0,284355000.0,191597000.0,191293000.0,1.5,1.51,287939000.0,287939000.0,287939000.0,287939000.0,287939000.0,28037000.0,315976000.0,12861000.0,2064000.0,10797000.0,18760000.0,18760000.0,284355000.0,475087000.0,224394000.0,250693000.0,46344000.0,204349000.0,204349000.0,759442000.0,561353000.0,1320795000.0,1320795000.0
2023-03-31,676544.0,0.088,232709000.0,7688000.0,7688000.0,202327000.0,43415000.0,494630000.0,240397000.0,196982000.0,15899000.0,15899000.0,195315544.0,202327000.0,950442000.0,196982000.0,191886000.0,191498000.0,1.05,1.06,202327000.0,202327000.0,202327000.0,202327000.0,202327000.0,19445000.0,221772000.0,8891000.0,1203000.0,7688000.0,15899000.0,15899000.0,196982000.0,455812000.0,221485000.0,234327000.0,30347000.0,203980000.0,203980000.0,652794000.0,494630000.0,1147424000.0,1147424000.0
2022-12-31,4941733.075459,0.110963,264138000.0,44535000.0,44535000.0,293272000.0,41499000.0,561385000.0,308673000.0,267174000.0,14306000.0,14306000.0,253678733.075459,293272000.0,1039181000.0,267174000.0,192104000.0,191613000.0,1.53,1.53,293272000.0,293272000.0,293272000.0,293272000.0,293272000.0,36604000.0,329876000.0,48396000.0,3861000.0,44535000.0,14306000.0,14306000.0,267174000.0,477796000.0,215712000.0,262084000.0,57662000.0,204422000.0,204422000.0,744970000.0,561385000.0,1306355000.0,1306355000.0
