Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,38.09000015258789,39.310001373291016,37.5,38.959999084472656,38.3006477355957,61032300
2019-01-28,36.95000076293945,39.86000061035156,36.650001525878906,39.599998474121094,38.9298210144043,178362500
2019-02-04,39.54999923706055,41.959999084472656,37.45000076293945,38.58000183105469,37.927085876464844,179387700
2019-02-11,38.599998474121094,43.15999984741211,37.36000061035156,41.9900016784668,41.27937316894531,194773700
2019-02-18,41.70000076293945,43.2599983215332,41.41999816894531,42.56999969482422,41.849552154541016,100507700
2019-02-25,43.810001373291016,43.9900016784668,39.79999923706055,41.58000183105469,40.876312255859375,125341100
2019-03-04,41.880001068115234,42.150001525878906,36.56999969482422,38.650001525878906,37.99589538574219,166385700
2019-03-11,38.90999984741211,39.84000015258789,38.34000015258789,39.540000915527344,38.87083435058594,117033800
2019-03-18,39.599998474121094,44.209999084472656,39.150001525878906,41.619998931884766,40.91563034057617,228009300
2019-03-25,41.34000015258789,41.97999954223633,39.0099983215332,41.33000183105469,40.63054275512695,146363700
2019-04-01,42.27000045776367,44.849998474121094,41.720001220703125,43.31999969482422,42.58686065673828,146766100
2019-04-08,42.18000030517578,43.20000076293945,41.27000045776367,42.0099983215332,41.29903030395508,116759200
2019-04-15,42.16999816894531,44.04999923706055,41.20000076293945,43.400001525878906,42.66551208496094,74555400
2019-04-22,43.13999938964844,44.650001525878906,40.77000045776367,42.099998474121094,41.387508392333984,115012900
2019-04-29,42.130001068115234,43.380001068115234,41.58000183105469,43.33000183105469,42.59668731689453,81092600
2019-05-06,41.400001525878906,42.290000915527344,37.650001525878906,38.939998626708984,38.28098678588867,145272700
2019-05-13,37.36000061035156,38.70000076293945,35.79999923706055,36.060001373291016,35.44972610473633,135203900
2019-05-20,34.75,35.880001068115234,32.959999084472656,34.0,33.42459487915039,139785900
2019-05-27,34.150001525878906,34.31999969482422,32.16999816894531,32.61000061035156,32.05811309814453,95119400
2019-06-03,32.95000076293945,35.400001525878906,32.470001220703125,33.9900016784668,33.41476058959961,115839300
2019-06-10,34.599998474121094,35.9900016784668,32.2400016784668,32.65999984741211,32.107269287109375,105984800
2019-06-17,32.540000915527344,35.2599983215332,32.13999938964844,33.25,32.68728256225586,134763400
