,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Dividends Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2023-10-31,1191000000.0,833000000.0,2024000000.0,,5999000000.0,12323000000.0,21910000000.0,11775000000.0,12323000000.0,438000000.0,16349000000.0,21810000000.0,16349000000.0,16349000000.0,-217000000.0,-217000000.0,36299000000.0,43726000000.0,9131000000.0,8000000.0,8000000.0,0.0,14380000000.0,7008000000.0,336000000.0,126000000.0,126000000.0,833000000.0,5713000000.0,252000000.0,5461000000.0,7372000000.0,2975000000.0,2975000000.0,286000000.0,186000000.0,100000000.0,,100000000.0,1024000000.0,3087000000.0,995000000.0,38000000.0,2092000000.0,267000000.0,347000000.0,282000000.0,1478000000.0,30729000000.0,11582000000.0,345000000.0,1729000000.0,1729000000.0,,2281000000.0,,,4026000000.0,294000000.0,3732000000.0,3201000000.0,-3651000000.0,6852000000.0,672000000.0,2831000000.0,762000000.0,2194000000.0,393000000.0,0.0,19147000000.0,976000000.0,,5725000000.0,1486000000.0,997000000.0,3242000000.0,5577000000.0,412000000.0,5165000000.0,-29000000.0,5194000000.0,6869000000.0,737000000.0,6132000000.0,4715000000.0,1417000000.0
2023-07-31,1186000000.0,836533852.0,2022533852.0,,6099000000.0,11056000000.0,20752000000.0,10655000000.0,11056000000.0,440000000.0,15093000000.0,20553000000.0,15093000000.0,15093000000.0,-223000000.0,-223000000.0,35594000000.0,41988000000.0,8914000000.0,8000000.0,8000000.0,,15317000000.0,7093000000.0,358000000.0,116000000.0,116000000.0,818000000.0,5801000000.0,341000000.0,5460000000.0,8224000000.0,3497000000.0,3497000000.0,298000000.0,99000000.0,199000000.0,199000000.0,,853000000.0,3576000000.0,908000000.0,55000000.0,2668000000.0,268000000.0,967000000.0,927000000.0,1433000000.0,30410000000.0,11531000000.0,421000000.0,1813000000.0,1813000000.0,421000000.0,2177000000.0,,,4037000000.0,305000000.0,3732000000.0,3083000000.0,-3618000000.0,6701000000.0,679000000.0,2775000000.0,711000000.0,2143000000.0,393000000.0,0.0,18879000000.0,887000000.0,418000000.0,5809000000.0,1453000000.0,989000000.0,3367000000.0,5648000000.0,418000000.0,5230000000.0,-29000000.0,5259000000.0,6535000000.0,510000000.0,6025000000.0,4628000000.0,1397000000.0
2023-04-30,1182000000.0,839747415.0,2021747415.0,1070000000.0,6122000000.0,10090000000.0,19787000000.0,9902000000.0,10090000000.0,464000000.0,14129000000.0,19588000000.0,14129000000.0,14129000000.0,-235000000.0,-235000000.0,35151000000.0,40696000000.0,8811000000.0,8000000.0,8000000.0,,14963000000.0,7092000000.0,335000000.0,117000000.0,117000000.0,822000000.0,5818000000.0,359000000.0,5459000000.0,7871000000.0,3373000000.0,3373000000.0,304000000.0,105000000.0,199000000.0,,199000000.0,680000000.0,3514000000.0,911000000.0,39000000.0,2603000000.0,269000000.0,866000000.0,836000000.0,1468000000.0,29092000000.0,11319000000.0,521000000.0,1678000000.0,1678000000.0,521000000.0,2024000000.0,2024000000.0,2024000000.0,4039000000.0,328000000.0,3711000000.0,3057000000.0,-3503000000.0,6560000000.0,617000000.0,2693000000.0,745000000.0,2118000000.0,387000000.0,0.0,17773000000.0,802000000.0,802000000.0,5940000000.0,1476000000.0,1064000000.0,3400000000.0,5933000000.0,417000000.0,5516000000.0,-29000000.0,5545000000.0,5098000000.0,510000000.0,4588000000.0,3159000000.0,1429000000.0
2023-01-31,1175000000.0,845118427.0,2020118427.0,2110000000.0,6118000000.0,9370000000.0,19077000000.0,9465000000.0,9370000000.0,461000000.0,13420000000.0,18878000000.0,13420000000.0,13420000000.0,-235000000.0,-235000000.0,34347000000.0,39389000000.0,8605000000.0,8000000.0,8000000.0,,14539000000.0,7289000000.0,367000000.0,117000000.0,117000000.0,975000000.0,5830000000.0,372000000.0,5458000000.0,7250000000.0,3082000000.0,3082000000.0,288000000.0,89000000.0,199000000.0,,199000000.0,564000000.0,3316000000.0,940000000.0,55000000.0,2376000000.0,220000000.0,545000000.0,517000000.0,1611000000.0,27959000000.0,11244000000.0,606000000.0,1522000000.0,1522000000.0,606000000.0,2088000000.0,,,4050000000.0,332000000.0,3718000000.0,2978000000.0,-3421000000.0,6399000000.0,579000000.0,2625000000.0,745000000.0,2063000000.0,387000000.0,0.0,16715000000.0,767000000.0,767000000.0,6054000000.0,1633000000.0,1094000000.0,3327000000.0,5847000000.0,462000000.0,5385000000.0,-29000000.0,5414000000.0,4047000000.0,500000000.0,3547000000.0,2322000000.0,1225000000.0
2022-10-31,1173000000.0,844000000.0,2017000000.0,3462000000.0,5829000000.0,8155000000.0,17651000000.0,8546000000.0,8155000000.0,372000000.0,12194000000.0,17651000000.0,12194000000.0,12194000000.0,-202000000.0,-202000000.0,34097000000.0,37892000000.0,8593000000.0,8000000.0,8000000.0,0.0,14532000000.0,7153000000.0,338000000.0,107000000.0,107000000.0,964000000.0,5744000000.0,287000000.0,5457000000.0,7379000000.0,3142000000.0,3142000000.0,85000000.0,85000000.0,,,0.0,905000000.0,3247000000.0,923000000.0,39000000.0,2324000000.0,220000000.0,349000000.0,319000000.0,1755000000.0,26726000000.0,10801000000.0,691000000.0,1395000000.0,1395000000.0,691000000.0,1980000000.0,1980000000.0,1980000000.0,4039000000.0,339000000.0,3700000000.0,2696000000.0,-3322000000.0,6018000000.0,389000000.0,2472000000.0,743000000.0,2027000000.0,387000000.0,0.0,15925000000.0,883000000.0,461000000.0,5932000000.0,1687000000.0,1029000000.0,3216000000.0,6529000000.0,461000000.0,6068000000.0,-29000000.0,6097000000.0,2581000000.0,586000000.0,1995000000.0,796000000.0,1199000000.0
