,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Liabilities Heldfor Sale Non Current,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2023-09-30,1114000000.0,1114000000.0,6948000000.0,15398000000.0,9531000000.0,36979000000.0,12836000000.0,9531000000.0,21581000000.0,36065000000.0,21581000000.0,21581000000.0,358000000.0,358000000.0,20733000000.0,490000000.0,490000000.0,0.0,29459000000.0,19831000000.0,4130000000.0,38000000.0,1080000000.0,99000000.0,99000000.0,14484000000.0,14484000000.0,9628000000.0,3107000000.0,293000000.0,293000000.0,914000000.0,914000000.0,914000000.0,0.0,5314000000.0,1685000000.0,3629000000.0,1717000000.0,1717000000.0,1912000000.0,51040000000.0,28576000000.0,8174000000.0,3310000000.0,3310000000.0,12050000000.0,1408000000.0,10642000000.0,5042000000.0,-7668000000.0,12710000000.0,485000000.0,226000000.0,9981000000.0,1849000000.0,169000000.0,0.0,22464000000.0,1194000000.0,341000000.0,6422000000.0,2150000000.0,4096000000.0,176000000.0,3183000000.0,1260000000.0,1923000000.0,11324000000.0,2874000000.0,8450000000.0
2023-06-30,1115000000.0,1115000000.0,9357000000.0,15444000000.0,8461000000.0,36114000000.0,12013000000.0,8461000000.0,20670000000.0,35200000000.0,20670000000.0,20670000000.0,430000000.0,430000000.0,20163000000.0,77000000.0,77000000.0,0.0,28332000000.0,19869000000.0,4113000000.0,36000000.0,1098000000.0,92000000.0,92000000.0,14530000000.0,14530000000.0,8463000000.0,4010000000.0,249000000.0,249000000.0,914000000.0,914000000.0,914000000.0,0.0,3290000000.0,1546000000.0,1744000000.0,,,1744000000.0,49002000000.0,28526000000.0,8328000000.0,2773000000.0,2773000000.0,12209000000.0,1618000000.0,10591000000.0,5216000000.0,,,,,,,,,20476000000.0,1050000000.0,317000000.0,6628000000.0,2068000000.0,4366000000.0,194000000.0,3850000000.0,,3850000000.0,8631000000.0,2544000000.0,6087000000.0
2023-03-31,1114000000.0,1114000000.0,12497000000.0,15985000000.0,7392000000.0,35683000000.0,11207000000.0,7392000000.0,19698000000.0,35184000000.0,19698000000.0,19698000000.0,418000000.0,418000000.0,19280000000.0,0.0,0.0,0.0,28664000000.0,20798000000.0,4008000000.0,116000000.0,1084000000.0,104000000.0,104000000.0,15486000000.0,15486000000.0,7866000000.0,4433000000.0,277000000.0,277000000.0,499000000.0,499000000.0,,499000000.0,2657000000.0,1227000000.0,1430000000.0,,,1430000000.0,48362000000.0,29289000000.0,9225000000.0,2477000000.0,2477000000.0,12306000000.0,1727000000.0,10579000000.0,5281000000.0,,,,,,,,,19073000000.0,1032000000.0,816000000.0,6858000000.0,2391000000.0,4248000000.0,219000000.0,3691000000.0,,3691000000.0,6676000000.0,3188000000.0,3488000000.0
2022-12-31,1119000000.0,1119000000.0,12069000000.0,16877000000.0,6448000000.0,35687000000.0,11017000000.0,6448000000.0,18810000000.0,34241000000.0,18810000000.0,18810000000.0,293000000.0,293000000.0,18517000000.0,0.0,0.0,0.0,31204000000.0,21123000000.0,4004000000.0,111000000.0,1472000000.0,105000000.0,105000000.0,15431000000.0,15431000000.0,10081000000.0,4324000000.0,289000000.0,289000000.0,1446000000.0,1446000000.0,,,4022000000.0,1460000000.0,2562000000.0,,,2562000000.0,50014000000.0,28916000000.0,9247000000.0,2092000000.0,2092000000.0,12362000000.0,1796000000.0,10566000000.0,5215000000.0,,,,,,,,,21098000000.0,1247000000.0,721000000.0,6932000000.0,3057000000.0,3647000000.0,228000000.0,3960000000.0,,3960000000.0,8238000000.0,3430000000.0,4808000000.0
