,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-09-30,-1638000.0,0.182,777100000.0,-9000000.0,-9000000.0,513900000.0,101000000.0,2150700000.0,768100000.0,667100000.0,-33600000.0,33600000.0,521262000.0,513900000.0,2532300000.0,657900000.0,622000000.0,597700000.0,0.83,0.86,513900000.0,513900000.0,513900000.0,-4400000.0,518300000.0,,518300000.0,115200000.0,633500000.0,200000.0,9200000.0,-9000000.0,9000000.0,-33600000.0,33600000.0,666900000.0,381600000.0,381600000.0,1048500000.0,2150700000.0,3199200000.0,3199200000.0
2023-06-30,306600.0,0.219,723600000.0,1400000.0,1400000.0,460500000.0,94100000.0,2062200000.0,725000000.0,630900000.0,-35000000.0,35000000.0,459406600.0,460500000.0,2430000000.0,619900000.0,618200000.0,595000000.0,0.74,0.77,460500000.0,460500000.0,460500000.0,-4800000.0,465300000.0,,465300000.0,130600000.0,595900000.0,7000000.0,5600000.0,1400000.0,-1400000.0,-35000000.0,35000000.0,623900000.0,367800000.0,367800000.0,991700000.0,2062200000.0,3053900000.0,3053900000.0
2023-03-31,-1128600.0,0.209,697500000.0,-5400000.0,-5400000.0,439200000.0,96300000.0,2030600000.0,692100000.0,595800000.0,-35900000.0,35900000.0,443471400.0,439200000.0,2376900000.0,591700000.0,619900000.0,595100000.0,0.71,0.74,439200000.0,439200000.0,439200000.0,-3500000.0,442700000.0,,442700000.0,117200000.0,559900000.0,-1300000.0,4100000.0,-5400000.0,5400000.0,-35900000.0,35900000.0,597100000.0,346300000.0,346300000.0,943400000.0,2030600000.0,2974000000.0,2974000000.0
2022-12-31,-1823687.539532,0.191967,787300000.0,-9500000.0,-9500000.0,507500000.0,108300000.0,2201700000.0,777800000.0,669500000.0,-37100000.0,37100000.0,515176312.460468,507500000.0,2563600000.0,666100000.0,619500000.0,594900000.0,0.82,0.85,507500000.0,507500000.0,507500000.0,-3500000.0,511000000.0,0.0,511000000.0,121400000.0,632400000.0,-6100000.0,3400000.0,-9500000.0,9500000.0,-37100000.0,37100000.0,675600000.0,361900000.0,361900000.0,1037500000.0,2201700000.0,3239200000.0,3239200000.0
