,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Current Notes Payable,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Other Investments,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Machinery Furniture Equipment,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2023-10-31,496261678.0,496261678.0,5990672000.0,7013478000.0,-2659969000.0,42513855000.0,1183051000.0,-2659969000.0,64745000.0,35565122000.0,41467579000.0,35565122000.0,35565122000.0,-188302000.0,10356798000.0,25313914000.0,82712000.0,82712000.0,0.0,13229356000.0,10028385000.0,581000000.0,417076000.0,3127852000.0,3127852000.0,5902457000.0,5902457000.0,3200971000.0,81602000.0,1111021000.0,64745000.0,1046276000.0,499052000.0,547224000.0,,308001000.0,1700347000.0,861611000.0,40412000.0,838736000.0,345695000.0,309046000.0,493041000.0,48794478000.0,44410456000.0,742936000.0,2223272000.0,2223272000.0,,,38225091000.0,11311957000.0,26913134000.0,3219157000.0,-3424775000.0,6643932000.0,177313000.0,4751047000.0,1715572000.0,0.0,4384022000.0,314013000.0,,1642214000.0,388253000.0,1125819000.0,128142000.0,1469734000.0,1469734000.0,-2763000.0,1472497000.0,958061000.0,958061000.0,315980000.0,642081000.0
2023-07-31,498313956.0,498313956.0,5833114000.0,6982360000.0,-2772043000.0,42886106000.0,2004167000.0,-2772043000.0,,35903746000.0,42341396000.0,35903746000.0,35903746000.0,-170854000.0,10286353000.0,25705193000.0,83054000.0,83054000.0,0.0,13442993000.0,10611975000.0,582216000.0,441361000.0,3150748000.0,3150748000.0,6437650000.0,6437650000.0,2831018000.0,,544710000.0,,544710000.0,,544710000.0,,,2286308000.0,1277300000.0,,1009008000.0,423438000.0,423438000.0,585570000.0,49346739000.0,44511554000.0,688104000.0,2224880000.0,2224880000.0,,,38675789000.0,11762655000.0,26913134000.0,2922781000.0,,,,,,,4835185000.0,360383000.0,360383000.0,1709313000.0,455459000.0,1123823000.0,130031000.0,1616243000.0,1616243000.0,,,1149246000.0,1149246000.0,,
2023-04-30,501418304.0,501418304.0,5551672000.0,6729281000.0,-3161603000.0,42742505000.0,2098510000.0,-3161603000.0,,36013224000.0,42488870000.0,36013224000.0,36013224000.0,-172363000.0,9839790000.0,26262226000.0,83571000.0,83571000.0,0.0,13531515000.0,10885105000.0,560456000.0,523653000.0,3325350000.0,3325350000.0,6475646000.0,6475646000.0,2646410000.0,,253635000.0,,253635000.0,,253635000.0,,,2392775000.0,1514805000.0,,877970000.0,308968000.0,308968000.0,569002000.0,49544739000.0,44799819000.0,634118000.0,2248858000.0,2248858000.0,,,39174827000.0,12261693000.0,26913134000.0,2742016000.0,,,,,,,4744920000.0,302919000.0,,1648136000.0,441077000.0,1084541000.0,122518000.0,1616256000.0,1616256000.0,,,1177609000.0,1177609000.0,,
2023-01-31,505852499.0,505852499.0,4872788000.0,6543250000.0,-3144878000.0,43074735000.0,2727823000.0,-3144878000.0,,36531485000.0,43074735000.0,36531485000.0,36531485000.0,-169734000.0,9297347000.0,27319566000.0,84306000.0,84306000.0,0.0,13703035000.0,11269358000.0,536688000.0,712376000.0,3477044000.0,3477044000.0,6543250000.0,6543250000.0,2433677000.0,,,,,,,,,2433677000.0,1385075000.0,,1048602000.0,513943000.0,513943000.0,534659000.0,50234520000.0,45073020000.0,604824000.0,2267178000.0,2267178000.0,,,39676363000.0,12763229000.0,26913134000.0,2524655000.0,,,,,,,5161500000.0,338226000.0,,1522942000.0,456004000.0,948201000.0,118737000.0,1629870000.0,1629870000.0,,,1670462000.0,1670462000.0,,
2022-10-31,509295941.0,509295941.0,5078053000.0,6602253000.0,-3713217000.0,43013948000.0,2495337000.0,-3713217000.0,53628000.0,36465323000.0,43013948000.0,36465323000.0,36465323000.0,-198152000.0,8721325000.0,27857270000.0,84880000.0,84880000.0,0.0,13837027000.0,11394372000.0,515363000.0,707846000.0,3622538000.0,3622538000.0,6548625000.0,6548625000.0,2442655000.0,,53628000.0,53628000.0,,,0.0,0.0,465536000.0,1923491000.0,1052671000.0,33298000.0,870820000.0,288660000.0,265845000.0,582160000.0,50302350000.0,45364358000.0,519626000.0,2264888000.0,2264888000.0,122285000.0,122285000.0,40178540000.0,13265406000.0,26913134000.0,2401304000.0,-3148203000.0,5549507000.0,118856000.0,3970670000.0,1459981000.0,0.0,4937992000.0,267044000.0,267044000.0,1399914000.0,384358000.0,904648000.0,110908000.0,1800462000.0,1800462000.0,-4571000.0,1805033000.0,1470572000.0,1470572000.0,454545000.0,1016027000.0
