,Free Cash Flow,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Prepaid Assets,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Earnings Losses From Equity Investments,Net Income From Continuing Operations
2023-09-30,180000000.0,-47000000.0,1406000000.0,1248000000.0,1000000.0,157000000.0,-24000000.0,-24000000.0,-24000000.0,-46000000.0,-46000000.0,1000000.0,126000000.0,-125000000.0,0.0,0.0,-13000000.0,-13000000.0,-34000000.0,-34000000.0,227000000.0,227000000.0,-224000000.0,-96000000.0,-47000000.0,-71000000.0,5000000.0,-76000000.0,-76000000.0,-76000000.0,12000000.0,-22000000.0,33000000.0,6000000.0,513000000.0,-4000000.0,-4000000.0,41000000.0,41000000.0,5000000.0,5000000.0,-110000000.0
2023-06-30,-140000000.0,-26000000.0,1248000000.0,1554000000.0,0.0,-306000000.0,-15000000.0,-15000000.0,-15000000.0,-177000000.0,-177000000.0,-140000000.0,120000000.0,-260000000.0,-11000000.0,-11000000.0,0.0,0.0,-26000000.0,-26000000.0,-114000000.0,-114000000.0,-402000000.0,24000000.0,-62000000.0,-435000000.0,-447000000.0,12000000.0,12000000.0,12000000.0,1000000.0,70000000.0,102000000.0,8000000.0,140000000.0,-13000000.0,-13000000.0,41000000.0,41000000.0,7000000.0,7000000.0,105000000.0
