,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2023-10-31,864300000.0,864300000.0,3460300000.0,4422400000.0,-966400000.0,19419300000.0,1093600000.0,-966400000.0,236500000.0,15233400000.0,19323000000.0,15233400000.0,15233400000.0,-1400000.0,-1400000.0,427900000.0,14805200000.0,1700000.0,1700000.0,,6481000000.0,4601400000.0,207600000.0,34000000.0,73200000.0,73200000.0,4286600000.0,197000000.0,4089600000.0,1879600000.0,74100000.0,56900000.0,135800000.0,39500000.0,96300000.0,96300000.0,245000000.0,117600000.0,1307100000.0,725200000.0,17800000.0,581900000.0,162800000.0,162800000.0,419100000.0,21714400000.0,18741200000.0,76900000.0,749200000.0,759500000.0,759500000.0,44100000.0,44100000.0,16199800000.0,4612900000.0,11586900000.0,911700000.0,-1059000000.0,1970700000.0,210100000.0,1445900000.0,,314700000.0,2973200000.0,91500000.0,,941500000.0,361600000.0,579900000.0,1214600000.0,1214600000.0,,,725600000.0,725600000.0,,
2023-07-31,863300000.0,863300000.0,3729700000.0,4388100000.0,-1100600000.0,19542600000.0,82000000.0,-1100600000.0,235000000.0,15389500000.0,18524000000.0,15389500000.0,15389500000.0,-1000000.0,-1000000.0,644000000.0,14744800000.0,1700000.0,1700000.0,,6360600000.0,3675400000.0,242500000.0,34200000.0,71600000.0,71600000.0,3327100000.0,192600000.0,3134500000.0,2685200000.0,44600000.0,44600000.0,1061000000.0,42400000.0,1018600000.0,1018600000.0,185300000.0,67000000.0,1327300000.0,746900000.0,19000000.0,580400000.0,167600000.0,167600000.0,412800000.0,21750100000.0,18982900000.0,67400000.0,790000000.0,700900000.0,700900000.0,35700000.0,35700000.0,16490100000.0,4903200000.0,11586900000.0,898800000.0,-1023700000.0,1922500000.0,205000000.0,1403700000.0,,313800000.0,2767200000.0,118800000.0,,1015800000.0,383100000.0,632700000.0,1209200000.0,1209200000.0,,,423400000.0,423400000.0,,
2023-04-30,859900000.0,859900000.0,3644200000.0,4906300000.0,-1321200000.0,20166400000.0,141500000.0,-1321200000.0,233800000.0,15493900000.0,18648800000.0,15493900000.0,15493900000.0,-900000.0,-900000.0,903200000.0,14589900000.0,1700000.0,1700000.0,,6779300000.0,3717900000.0,270100000.0,32700000.0,69800000.0,69800000.0,3345300000.0,190400000.0,3154900000.0,3061400000.0,60600000.0,44400000.0,1561000000.0,43400000.0,1517600000.0,1517600000.0,184600000.0,77300000.0,1177900000.0,635000000.0,21700000.0,542900000.0,154500000.0,154500000.0,388400000.0,22273200000.0,19070300000.0,60600000.0,712700000.0,608200000.0,608200000.0,36000000.0,36000000.0,16815100000.0,5228200000.0,11586900000.0,837700000.0,-989000000.0,1826700000.0,201500000.0,1317700000.0,,307500000.0,3202900000.0,147700000.0,,1026000000.0,357800000.0,668200000.0,1000900000.0,1000900000.0,,,1028300000.0,1028300000.0,,
2023-01-31,856100000.0,856100000.0,3581100000.0,4737500000.0,-1491200000.0,20129300000.0,894400000.0,-1491200000.0,245400000.0,15637200000.0,19544900000.0,15637200000.0,15637200000.0,,,1123500000.0,14512000000.0,1700000.0,1700000.0,0.0,6884900000.0,4498200000.0,296200000.0,28500000.0,64200000.0,64200000.0,4109300000.0,201600000.0,3907700000.0,2386700000.0,65200000.0,45200000.0,628200000.0,43800000.0,584400000.0,584400000.0,244500000.0,102000000.0,1346800000.0,762600000.0,22100000.0,584200000.0,118400000.0,118400000.0,465800000.0,22522100000.0,19241000000.0,58300000.0,763600000.0,465900000.0,465900000.0,36100000.0,36100000.0,17128400000.0,5541500000.0,11586900000.0,788700000.0,-958100000.0,1746800000.0,211300000.0,1229300000.0,,306200000.0,3281100000.0,109600000.0,,1068300000.0,312000000.0,756300000.0,1192200000.0,1192200000.0,-2100000.0,1194300000.0,911000000.0,911000000.0,150700000.0,760300000.0
2022-10-31,853100000.0,853100000.0,3788200000.0,4744000000.0,-1854800000.0,20070600000.0,759100000.0,-1854800000.0,232400000.0,15559000000.0,19486600000.0,15559000000.0,15559000000.0,-800000.0,-800000.0,1190200000.0,14367900000.0,1700000.0,1700000.0,,6963100000.0,4542900000.0,320500000.0,58100000.0,45900000.0,45900000.0,4118400000.0,190800000.0,3927600000.0,2420200000.0,76700000.0,47000000.0,625600000.0,41600000.0,584000000.0,584000000.0,248300000.0,104900000.0,1364700000.0,721100000.0,20900000.0,643600000.0,167400000.0,167400000.0,476200000.0,22522100000.0,19342800000.0,58800000.0,660400000.0,451800000.0,451800000.0,35700000.0,35700000.0,17413800000.0,5834800000.0,11579000000.0,722300000.0,-938800000.0,1661100000.0,200800000.0,1160800000.0,299500000.0,0.0,3179300000.0,107700000.0,107700000.0,957500000.0,223200000.0,734300000.0,1390700000.0,1390700000.0,,,723400000.0,723400000.0,,
