,Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Gross PPE,Other Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Inventory,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents
2023-03-31,29312904.0,736856156.0,766169060.0,50844000000.0,272927000000.0,402051000000.0,200006000000.0,272927000000.0,17487000000.0,368694000000.0,388694000000.0,368694000000.0,368694000000.0,31637000000.0,59099000000.0,319171000000.0,44622000000.0,32363000000.0,32363000000.0,231530000000.0,56841000000.0,1356000000.0,16812000000.0,5773000000.0,32900000000.0,12900000000.0,20000000000.0,174689000000.0,22852000000.0,17944000000.0,4587000000.0,13357000000.0,9093000000.0,119897000000.0,30635000000.0,89262000000.0,600224000000.0,225529000000.0,394000000.0,26522000000.0,21488000000.0,21488000000.0,95767000000.0,81358000000.0,81358000000.0,81358000000.0,374695000000.0,17924000000.0,0.0,169082000000.0,102152000000.0,85537000000.0,85537000000.0
2022-03-31,38539436.0,759629624.0,798169060.0,43463000000.0,209314000000.0,325219000000.0,154063000000.0,209314000000.0,12865000000.0,294621000000.0,306860000000.0,294621000000.0,294621000000.0,18982000000.0,81547000000.0,279828000000.0,44995000000.0,32363000000.0,32363000000.0,200075000000.0,49193000000.0,1221000000.0,22341000000.0,3445000000.0,22186000000.0,9947000000.0,12239000000.0,150882000000.0,22627000000.0,21277000000.0,2918000000.0,18359000000.0,6536000000.0,97166000000.0,26814000000.0,70352000000.0,494696000000.0,189751000000.0,348000000.0,25494000000.0,14565000000.0,14565000000.0,85307000000.0,64037000000.0,64037000000.0,64037000000.0,304945000000.0,11007000000.0,188000000.0,95013000000.0,82155000000.0,116582000000.0,116582000000.0
2021-03-31,12528300.0,785738780.0,798267080.0,11850000000.0,225826000000.0,280369000000.0,189284000000.0,225826000000.0,11850000000.0,280369000000.0,280369000000.0,280369000000.0,280369000000.0,3576000000.0,15001000000.0,214858000000.0,44573000000.0,32363000000.0,32363000000.0,142272000000.0,52461000000.0,1733000000.0,36891000000.0,4473000000.0,9364000000.0,9364000000.0,0.0,89811000000.0,12581000000.0,2486000000.0,2486000000.0,0.0,4058000000.0,67177000000.0,8619000000.0,58558000000.0,422641000000.0,143546000000.0,269000000.0,25242000000.0,10211000000.0,10211000000.0,54543000000.0,53281000000.0,53281000000.0,53281000000.0,279095000000.0,8563000000.0,0.0,64340000000.0,57028000000.0,149164000000.0,149164000000.0
2020-03-31,4608276.0,793658804.0,798267080.0,11288000000.0,180427000000.0,231452000000.0,169605000000.0,180427000000.0,11288000000.0,231452000000.0,231452000000.0,231452000000.0,231452000000.0,-85000000.0,4179000000.0,159803000000.0,43550000000.0,32363000000.0,32363000000.0,124325000000.0,53788000000.0,2590000000.0,40622000000.0,1563000000.0,9013000000.0,9013000000.0,,70537000000.0,8582000000.0,2275000000.0,2275000000.0,,3335000000.0,54453000000.0,7793000000.0,46660000000.0,355777000000.0,115635000000.0,136000000.0,15351000000.0,2867000000.0,2867000000.0,51025000000.0,46256000000.0,46256000000.0,46256000000.0,240142000000.0,6871000000.0,199000000.0,58943000000.0,46426000000.0,127703000000.0,127703000000.0
