,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-09-30,0.0,0.177835,27721000000.0,16736000000.0,6469000000.0,58202000000.0,27721000000.0,21252000000.0,-644000000.0,896000000.0,252000000.0,16736000000.0,16736000000.0,95260000000.0,21000000000.0,739880667.0,737722707.0,22.62,22.69,16736000000.0,16736000000.0,0.0,16736000000.0,16736000000.0,16736000000.0,3620000000.0,20356000000.0,-644000000.0,896000000.0,252000000.0,21000000000.0,37058000000.0,86000000.0,40261000000.0,40261000000.0,58058000000.0,58202000000.0,116260000000.0,116260000000.0
2023-06-30,0.0,0.290024,20586000000.0,9202000000.0,6023000000.0,50300000000.0,20586000000.0,14563000000.0,-1308000000.0,1602000000.0,294000000.0,9202000000.0,9202000000.0,86982000000.0,14269000000.0,739738360.0,736909016.0,12.44,12.4875,9202000000.0,9202000000.0,0.0,9202000000.0,9202000000.0,9202000000.0,3759000000.0,12961000000.0,-1308000000.0,1602000000.0,294000000.0,14269000000.0,36682000000.0,106000000.0,36903000000.0,36903000000.0,50951000000.0,50300000000.0,101251000000.0,101251000000.0
2023-03-31,0.0,0.20353,44763000000.0,30594000000.0,6134000000.0,68694000000.0,44763000000.0,38629000000.0,-135000000.0,217000000.0,82000000.0,30594000000.0,30594000000.0,108845000000.0,38547000000.0,,,,,30594000000.0,30594000000.0,0.0,30594000000.0,30594000000.0,30594000000.0,7818000000.0,38412000000.0,-135000000.0,217000000.0,82000000.0,38547000000.0,40151000000.0,73000000.0,40492000000.0,40492000000.0,78698000000.0,68694000000.0,147392000000.0,147392000000.0
2022-12-31,0.0,0.238388,46725000000.0,28645000000.0,5359000000.0,56390000000.0,46725000000.0,41366000000.0,-3613000000.0,3755000000.0,142000000.0,28645000000.0,28645000000.0,96769000000.0,41224000000.0,742146512.0,739559801.0,38.5975,38.7325,28645000000.0,28645000000.0,0.0,28645000000.0,28645000000.0,28645000000.0,8966000000.0,37611000000.0,-3613000000.0,3755000000.0,142000000.0,41224000000.0,40379000000.0,74000000.0,40528000000.0,40528000000.0,81603000000.0,56390000000.0,137993000000.0,137993000000.0
